0 	 99
1 	 99
2 	 93
3 	 93
4 	 93
5 	 89
6 	 79
7 	 79
8 	 73
9 	 73
10 	 71
11 	 71
12 	 71
13 	 71
14 	 71
15 	 69
16 	 69
17 	 67
18 	 67
19 	 67
20 	 67
21 	 65
22 	 65
23 	 65
24 	 65
25 	 65
26 	 65
27 	 65
28 	 65
29 	 65
30 	 65
31 	 63
32 	 63
33 	 63
34 	 63
35 	 63
36 	 63
37 	 63
38 	 63
39 	 63
40 	 63
41 	 63
42 	 63
43 	 63
44 	 63
45 	 63
46 	 63
47 	 63
48 	 63
49 	 63
50 	 63
51 	 63
52 	 63
53 	 63
54 	 63
55 	 63
56 	 63
57 	 63
58 	 63
59 	 63
60 	 63
61 	 63
62 	 63
63 	 63
64 	 63
65 	 63
66 	 63
67 	 63
68 	 63
69 	 63
70 	 63
71 	 63
72 	 63
73 	 63
74 	 63
75 	 63
76 	 63
77 	 63
78 	 63
79 	 63
80 	 63
81 	 63
